"Date","Time","Temperature(C)","Pressure(hPa)","Altitude(m)","Humidity(%)"
"12/03/2024","16:39:0",21.74,1021.8,-70.94,69.26
"12/03/2024","16:40:0",22.29,1021.79,-70.88,67.58
"12/03/2024","16:41:0",22.67,1021.7,-70.12,65.47
"12/03/2024","16:42:0",22.56,1021.74,-70.47,66.81
"12/03/2024","16:43:0",22.52,1021.72,-70.31,65.65
"12/03/2024","16:44:0",22.95,1021.72,-70.31,65.42
"12/03/2024","16:45:0",23.2,1021.63,-69.57,63.81
"12/03/2024","16:46:0",23.33,1021.58,-69.13,63.83
"12/03/2024","16:47:0",23.13,1021.56,-68.92,63.72
"12/03/2024","16:48:0",23.45,1021.52,-68.62,63.16
"12/03/2024","16:49:0",23.51,1021.54,-68.76,62.83
"12/03/2024","16:50:0",23.62,1021.46,-68.11,62.46
"12/03/2024","16:51:0",23.75,1021.45,-68.05,62.71
"12/03/2024","16:52:0",23.79,1021.43,-67.85,60.93
"12/03/2024","16:53:0",23.81,1021.43,-67.86,61.78
"12/03/2024","16:54:0",23.95,1021.41,-67.72,61.87
"12/03/2024","16:55:0",23.92,1021.4,-67.63,60.96
"12/03/2024","16:56:0",23.14,1021.41,-67.71,62.89
"12/03/2024","16:57:0",22.62,1020.88,-63.35,64.8
"12/03/2024","16:58:0",22.73,1020.47,-59.92,64.33
"12/03/2024","16:59:0",22.67,1020.38,-59.18,64.89
"12/03/2024","17:0:0",22.91,1020.2,-57.72,62.86
"12/03/2024","17:1:0",23.15,1020.16,-57.37,61.79
"12/03/2024","17:2:0",23.47,1020.18,-57.52,69.86
"12/03/2024","17:3:0",23.66,1020.09,-56.82,62.26
"12/03/2024","17:4:0",23.68,1020.08,-56.72,61.36
"12/03/2024","17:5:0",23.18,1020.11,-56.99,62.5
"12/03/2024","17:6:0",23.31,1020.04,-56.4,67.4
"Date","Time","Temperature(C)","Pressure(hPa)","Altitude(m)","Humidity(%)"
"13/03/2024","10:18:0",22.43,916.59,837.73,62.16
"13/03/2024","10:19:0",23.95,916.49,838.71,57.07
"13/03/2024","10:20:0",22.75,915.95,843.52,59.02
"13/03/2024","10:21:0",21.8,916.13,841.93,62.59
"13/03/2024","10:22:0",21.64,916.14,841.81,62.95
"13/03/2024","10:23:0",20.21,916.28,840.61,67.27
"13/03/2024","10:24:0",19.99,916.28,840.59,68.49
"13/03/2024","10:25:0",19.61,916.3,840.34,69.35
"13/03/2024","10:26:0",19.41,916.27,840.61,69.43
"13/03/2024","10:27:0",18.84,916.3,840.41,70.04
"13/03/2024","10:28:0",18.99,916.34,840.02,70.56
"13/03/2024","10:29:0",19.07,916.22,841.08,70.27
"13/03/2024","10:30:0",19.22,916.15,841.73,69.85
"13/03/2024","10:31:0",19.01,916.33,840.13,70.66
"13/03/2024","10:32:0",19.23,916.26,840.77,70.61
"13/03/2024","10:33:0",19.41,916.31,840.32,69.78
"13/03/2024","10:34:0",19.16,916.31,840.28,70.37
"13/03/2024","10:35:0",18.33,916.49,838.69,72.98
"13/03/2024","10:36:0",18.65,916.87,835.27,74.06
"13/03/2024","10:37:0",19.31,916.93,834.68,71.33
"13/03/2024","10:38:0",20.32,916.87,835.25,69
"13/03/2024","10:39:0",21.14,916.87,835.26,65.32
"13/03/2024","10:40:0",21.51,916.94,834.59,63.24
"13/03/2024","10:41:0",21.31,916.91,834.9,63.28
"13/03/2024","10:42:0",21.36,916.9,834.93,63.22
"13/03/2024","10:43:0",21.18,916.94,834.58,63.96
"13/03/2024","10:44:0",20.47,917.03,833.8,66.36
"13/03/2024","10:45:0",19.99,917.05,833.58,68.18
"13/03/2024","10:46:0",19.66,917.09,833.2,69.31
"13/03/2024","10:47:0",19.62,917.08,833.33,69.02
"13/03/2024","10:48:0",19.36,917.1,833.15,70.81
"13/03/2024","10:49:0",19.21,917.17,832.51,70.88
"13/03/2024","10:50:0",19.44,917.38,830.63,71.86
"13/03/2024","10:51:0",19.01,918.05,824.57,72.23
"13/03/2024","10:52:0",18.9,918.44,821.09,72.91
"13/03/2024","10:53:0",18.95,918.36,821.77,73.66
"13/03/2024","10:54:0",18.6,918.38,821.59,74.68
"13/03/2024","10:55:0",18.68,918.84,817.43,74.77
"13/03/2024","10:56:0",18.6,919.56,810.97,75.23
"13/03/2024","10:57:0",18.13,920.3,804.28,75.47
"13/03/2024","10:58:0",17.93,920.42,803.22,76.87
"13/03/2024","10:59:0",17.72,921.1,797.12,77.88
"13/03/2024","11:0:0",17.67,921.98,789.19,77.55
"13/03/2024","11:1:0",17.65,922.99,780.13,77.79
"13/03/2024","11:2:0",17.52,923.05,779.57,78
"13/03/2024","11:3:0",17.43,923.56,775,78.31
"13/03/2024","11:4:0",17.2,923.6,774.66,79.14
"13/03/2024","11:5:0",17.2,922.94,780.83,79.42
"13/03/2024","11:6:0",17.17,922.58,783.85,79.77
"13/03/2024","11:7:0",17.13,923.59,774.76,79.57
"13/03/2024","11:8:0",17.05,923.84,772.46,80.06
"13/03/2024","11:9:0",17.13,924.92,762.8,80.22
"13/03/2024","11:10:0",17.17,925.92,753.85,80.63
"13/03/2024","11:11:0",17.19,926.83,745.67,80.66
"13/03/2024","11:12:0",17.17,927.66,738.29,81.18
"13/03/2024","11:13:0",17.15,928.54,730.49,81.12
"13/03/2024","11:14:0",17.24,929.45,722.32,80.85
"13/03/2024","11:15:0",17.15,929.77,719.48,80.96
"13/03/2024","11:16:0",17.35,929.76,719.53,80.37
"13/03/2024","11:17:0",17.16,929.71,719.98,81.25
"13/03/2024","11:18:0",17.31,929.85,718.73,80.62
"13/03/2024","11:19:0",17.07,930.84,709.91,81.28
"13/03/2024","11:20:0",17.1,931.55,703.55,81.43
"13/03/2024","11:21:0",17.15,932.05,699.09,81.79
"13/03/2024","11:22:0",17.3,932.11,698.59,81.16
"13/03/2024","11:23:0",17.22,932.68,693.48,81.19
"13/03/2024","11:24:0",17.25,931.69,702.33,81.56
"13/03/2024","11:25:0",17.2,930.76,710.63,81.64
"13/03/2024","11:26:0",17.27,929.98,717.55,82.68
"13/03/2024","11:27:0",17.41,930.79,710.41,82.42
"13/03/2024","11:28:0",17.82,930.8,710.2,82.46
"13/03/2024","11:29:0",18.67,930.74,710.78,80.3
"13/03/2024","11:30:0",19.19,930.74,710.69,78.08
"13/03/2024","11:31:0",19.51,930.77,710.51,75.83
"13/03/2024","11:32:0",19.9,930.8,710.29,74.01
"13/03/2024","11:33:0",20.08,930.79,710.35,72.99
"13/03/2024","11:34:0",19.92,930.8,710.28,73.06
"13/03/2024","11:35:0",20.12,930.81,710.16,73.03
"13/03/2024","11:36:0",20.3,930.82,710.08,71.71
"13/03/2024","11:37:0",20.39,930.81,710.13,72.11
"13/03/2024","11:38:0",20.52,930.89,709.47,71.85
"13/03/2024","11:39:0",20.59,930.83,709.98,70.74
"13/03/2024","11:40:0",20.49,930.81,710.15,71.23
"13/03/2024","11:41:0",20.33,930.85,709.82,71.59
"13/03/2024","11:42:0",20.39,930.85,709.8,70.3
"13/03/2024","11:43:0",20.48,930.8,710.2,70.6
"13/03/2024","11:44:0",20.72,930.89,709.47,70.46
"13/03/2024","11:45:0",20.35,931.14,707.19,70.27
"13/03/2024","11:46:0",19.39,932.07,698.89,72.97
"13/03/2024","11:47:0",19.7,932.19,697.84,72.17
"13/03/2024","11:48:0",20.02,932.62,694.01,72.15
"13/03/2024","11:49:0",19.7,933.28,688.13,72.23
"13/03/2024","11:50:0",19.42,933.81,683.47,73.36
"13/03/2024","11:51:0",18.95,934.5,677.33,74.07
"13/03/2024","11:52:0",18.79,935.19,671.21,75.09
"13/03/2024","11:53:0",18.5,934.76,674.96,76.6
"13/03/2024","11:54:0",18.29,934.05,681.3,78.02
"13/03/2024","11:55:0",18.65,933.97,682.04,77.83
"13/03/2024","11:56:0",18.78,933.92,682.48,75.91
"13/03/2024","11:57:0",19.45,934.49,677.35,74.07
"13/03/2024","11:58:0",19.74,934.51,677.17,73.49
"13/03/2024","11:59:0",19.94,934.51,677.23,72.23
"13/03/2024","12:0:0",20.09,934.76,674.99,70.71
"13/03/2024","12:1:0",19.93,935.52,668.27,73.23
"13/03/2024","12:2:0",19.98,935.96,664.38,73.84
"13/03/2024","12:3:0",20.19,936.62,658.47,72.81
"13/03/2024","12:4:0",20.11,937.69,649,74.75
"13/03/2024","12:5:0",20.33,937.96,646.58,73.02
"13/03/2024","12:6:0",20.72,937.96,646.63,72.12
"13/03/2024","12:7:0",21.14,938.04,645.85,69.92
"13/03/2024","12:8:0",20.63,938.96,637.73,72.67
"13/03/2024","12:9:0",20.5,940.09,627.71,73.16
"13/03/2024","12:10:0",20.15,941.3,617.03,73.36
"13/03/2024","12:11:0",20.07,942.21,608.98,72.96
"13/03/2024","12:12:0",19.76,942.13,609.68,74.66
"13/03/2024","12:13:0",20.63,942.33,607.95,77.63
"13/03/2024","12:14:0",21.39,942.2,609.07,75.86
"13/03/2024","12:15:0",21.94,942.22,608.94,76.06
"13/03/2024","12:16:0",22.33,942.19,609.13,73.72
"13/03/2024","12:17:0",22.79,942.2,609.07,74.5
"13/03/2024","12:18:0",22.92,942.19,609.14,72.85
"13/03/2024","12:19:0",23.19,942.17,609.38,66.44
"13/03/2024","12:20:0",23.51,942.15,609.55,68.31
"13/03/2024","12:21:0",23.48,942.13,609.7,65.28
"13/03/2024","12:22:0",23.78,942.2,609.09,68.95
"13/03/2024","12:23:0",23.94,942.17,609.38,66.83
"13/03/2024","12:24:0",23.96,942.17,609.32,67.98
"13/03/2024","12:25:0",23.96,942.17,609.35,65.63
"13/03/2024","12:26:0",23.71,942.15,609.54,64.99
"13/03/2024","12:27:0",23.31,942.14,609.6,65.31
"13/03/2024","12:28:0",23.6,942.16,609.45,67.22
"13/03/2024","12:29:0",23.89,942.13,609.72,67.93
"13/03/2024","12:30:0",24,942.15,609.49,67.19
"13/03/2024","12:31:0",23.94,942.17,609.3,64.93
"13/03/2024","12:32:0",23.96,942.16,609.41,66.82
"13/03/2024","12:33:0",24.13,942.18,609.27,67.59
"13/03/2024","12:34:0",23.98,942.14,609.62,64.89
"13/03/2024","12:35:0",23.77,942.07,610.27,65.95
"13/03/2024","12:36:0",23.72,942.1,609.97,67.9
"13/03/2024","12:37:0",23.62,942.07,610.23,68.65
"13/03/2024","12:38:0",23.59,942.08,610.15,69.21
"13/03/2024","12:39:0",23.51,942.11,609.91,72.32
"13/03/2024","12:40:0",23.18,942.1,609.93,71.84
"13/03/2024","12:41:0",22.7,941.91,611.64,72.05
"13/03/2024","12:42:0",21.56,941.76,612.96,71.11
"13/03/2024","12:43:0",20.88,942.9,602.88,73.28
"13/03/2024","12:44:0",20.85,943.87,594.35,73.14
"13/03/2024","12:45:0",20.71,944.62,587.74,72.92
"13/03/2024","12:46:0",20.69,944.64,587.55,72.66
"13/03/2024","12:47:0",20.36,945.09,583.6,74.22
"13/03/2024","12:48:0",19.9,945.29,581.87,75.55
"13/03/2024","12:49:0",19.66,945.34,581.4,76.36
"13/03/2024","12:50:0",19.47,945.35,581.29,77.29
"13/03/2024","12:51:0",19.49,946.06,575.02,79.41
"13/03/2024","12:52:0",19.52,946.95,567.2,80.19
"13/03/2024","12:53:0",19.46,948.01,557.93,81.41
"13/03/2024","12:54:0",19.19,947.72,560.43,80.55
"13/03/2024","12:55:0",19.21,948.36,554.63,83.02
"13/03/2024","12:56:0",19.25,948.86,550.41,83.44
"13/03/2024","12:57:0",19.18,948.91,550.02,82.28
"13/03/2024","12:58:0",19.19,949.26,546.97,83.56
"13/03/2024","12:59:0",19.27,948.6,552.7,85.19
"13/03/2024","13:0:0",19.35,948.64,552.38,85.34
"13/03/2024","13:1:0",19.33,948.7,551.88,82.29
"13/03/2024","13:2:0",19.33,948.7,551.86,81.51
"13/03/2024","13:3:0",19.34,948.69,551.93,80.79
"13/03/2024","13:4:0",19.28,948.79,551.01,81.85
"13/03/2024","13:5:0",19.03,948.72,551.71,81.94
"13/03/2024","13:6:0",18.82,949.49,544.87,83.52
"13/03/2024","13:7:0",18.7,949.49,544.87,85.22
"13/03/2024","13:8:0",18.87,949.04,548.86,85.79
"13/03/2024","13:9:0",18.98,948.46,553.93,86.21
"13/03/2024","13:10:0",18.84,948.01,557.9,85.08
"13/03/2024","13:11:0",18.91,948.13,556.86,86.7
"13/03/2024","13:12:0",18.91,947.24,564.68,86.82
"13/03/2024","13:13:0",18.86,946.46,571.54,86.12
"13/03/2024","13:14:0",18.81,945.52,579.83,85.28
"13/03/2024","13:15:0",18.81,945.31,581.69,87.04
"13/03/2024","13:16:0",18.82,944.95,584.83,86.47
"13/03/2024","13:17:0",18.76,944.65,587.5,85.17
"13/03/2024","13:18:0",18.87,943.65,596.25,88.29
"13/03/2024","13:19:0",19.02,943.47,597.84,88.74
"13/03/2024","13:20:0",19.1,943.43,598.23,88.04
"13/03/2024","13:21:0",19.07,943.86,594.46,86.79
"13/03/2024","13:22:0",19.08,944.58,588.11,88.22
"13/03/2024","13:23:0",19.21,945.26,582.07,88.81
"13/03/2024","13:24:0",19.37,945.3,581.7,88.7
"13/03/2024","13:25:0",19.57,945.31,581.66,89.95
"13/03/2024","13:26:0",19.7,945.28,581.92,89.11
"13/03/2024","13:27:0",19.79,945.24,582.24,88.36
"13/03/2024","13:28:0",19.65,946.2,573.78,86.5
"13/03/2024","13:29:0",19.5,946.78,568.74,86
"13/03/2024","13:30:0",19.4,947.61,561.61,87
"13/03/2024","13:31:0",19.43,948.57,552.94,88.5
"13/03/2024","13:32:0",19.51,949.59,544.02,88.12
"13/03/2024","13:33:0",19.57,950.54,535.71,88.53
"13/03/2024","13:34:0",19.82,950.91,532.47,88.96
"13/03/2024","13:35:0",20.31,950.85,532.95,88.57
"13/03/2024","13:36:0",20.38,950.83,533.12,87.36
"13/03/2024","13:37:0",20.4,951.01,531.54,87.21
"13/03/2024","13:38:0",20.43,951.29,529.07,86.37
"13/03/2024","13:39:1",20.29,952.18,521.3,85.73
"13/03/2024","13:40:0",19.72,953.14,512.96,84.12
"13/03/2024","13:41:0",19.54,953.02,513.95,85.97
"13/03/2024","13:42:0",19.8,953.06,513.93,86.05
"13/03/2024","13:43:0",19.55,953.12,513.07,83.08
"13/03/2024","13:44:0",19.57,953.05,513.72,87.43
"13/03/2024","13:45:0",19.9,953.43,510.42,91.04
"13/03/2024","13:46:1",20.13,953.82,506.99,91.38
"13/03/2024","13:47:0",20.3,954.19,503.79,92.33
"13/03/2024","13:48:0",20.4,955.33,493.75,92.58
"13/03/2024","13:49:0",20.48,955.88,488.99,92.26
"13/03/2024","13:50:0",20.59,955.83,489.58,91.92
"13/03/2024","13:51:0",20.47,955.81,489.61,87.35
"13/03/2024","13:52:0",20.43,955.74,490.23,87.17
"13/03/2024","13:53:1",20.36,955.72,490.35,86.42
"13/03/2024","13:54:0",20.4,955.69,490.63,88.37
"13/03/2024","13:55:0",20.43,955.48,492.51,88.99
"13/03/2024","13:56:0",20.48,956.02,487.81,89.32
"13/03/2024","13:57:0",20.47,956.46,483.93,88.52
"13/03/2024","13:58:0",20.57,957.33,476.34,89.06
"13/03/2024","13:59:0",20.69,957.47,475.1,88.97
"13/03/2024","14:0:1",20.75,957.5,474.89,88.9
"13/03/2024","14:1:0",20.49,957.77,472.51,87.79
"13/03/2024","14:2:0",20.46,957.95,470.93,87.02
"13/03/2024","14:3:0",20.56,958.09,469.73,89.14
"13/03/2024","14:4:0",20.61,958.74,464.07,88.7
"13/03/2024","14:5:0",20.69,959.37,458.54,89.01
"13/03/2024","14:6:0",20.83,959.47,457.72,90.03
"13/03/2024","14:7:0",20.92,960.17,451.61,89.72
"13/03/2024","14:8:0",20.99,959.93,453.69,89.79
"13/03/2024","14:9:0",21.07,960.08,452.39,89.47
"13/03/2024","14:10:0",21.09,960.18,451.5,88.67
"13/03/2024","14:11:0",21.18,960.25,450.93,88.65
"13/03/2024","14:12:0",21.26,960.64,447.57,88.62
"13/03/2024","14:13:0",21.27,961.22,442.48,88
"13/03/2024","14:14:0",21.3,961.94,436.22,87.82
"13/03/2024","14:15:0",21.35,962.04,435.36,87.75
"13/03/2024","14:16:0",20.81,962.59,430.55,86.8
"13/03/2024","14:17:0",20.72,963.61,421.77,86.12
"13/03/2024","14:18:0",20.95,963.9,419.24,88.81
"13/03/2024","14:19:0",20.83,964.59,413.26,86.94
"13/03/2024","14:20:0",20.81,964.89,410.6,88.37
"13/03/2024","14:21:0",20.73,966.08,400.35,88.31
"13/03/2024","14:22:0",20.47,966.59,395.9,89.97
"13/03/2024","14:23:0",20.53,966.58,396,90
"13/03/2024","14:24:0",20.65,968.12,382.71,89.42
"13/03/2024","14:25:0",20.62,969.41,371.56,87.61
"13/03/2024","14:26:0",20.86,970.33,363.59,90.32
"13/03/2024","14:27:0",20.97,970.42,362.84,87.9
"13/03/2024","14:28:1",20.68,970.56,361.64,87.1
"13/03/2024","14:29:0",20.69,971.05,357.42,85.86
"13/03/2024","14:30:0",20.84,971.48,353.73,87.79
"13/03/2024","14:31:0",20.67,971.7,351.79,87.38
"13/03/2024","14:32:0",20.15,972.2,347.49,87.77
"13/03/2024","14:33:0",20.5,972.88,341.63,88.63
"13/03/2024","14:34:0",20.7,973.2,338.94,87.97
"13/03/2024","14:35:0",20.92,973.75,334.17,89.49
"13/03/2024","14:36:0",20.75,973.94,332.56,88.65
"13/03/2024","14:37:0",20.69,974.43,328.38,86.57
"13/03/2024","14:38:0",20.76,975.23,321.43,86.79
"13/03/2024","14:39:0",20.77,976.05,314.38,87.84
"13/03/2024","14:40:0",20.77,976.04,314.54,86.65
"13/03/2024","14:41:0",20.64,975.54,318.82,85.08
"13/03/2024","14:42:0",20.81,975.5,319.18,85.46
"13/03/2024","14:43:0",21.13,975.53,318.86,89.95
"13/03/2024","14:44:0",21.03,975.52,319,87.75
"13/03/2024","14:45:0",20.83,976.04,314.67,86.53
"13/03/2024","14:46:0",20.74,976.39,311.52,88.25
"13/03/2024","14:47:0",21.05,977.08,305.62,90.13
"13/03/2024","14:48:0",21.2,976.97,306.56,89.58
"13/03/2024","14:49:0",21.21,976.69,308.97,88.93
"13/03/2024","14:50:0",21.26,976.07,314.24,87.65
"13/03/2024","14:51:0",21.54,975.8,316.66,90.7
"13/03/2024","14:52:0",21.52,975.7,317.42,87.18
"13/03/2024","14:53:0",21.76,975.85,316.08,91.43
"13/03/2024","14:54:0",21.76,976.74,308.54,90.93
"13/03/2024","14:55:0",21.92,977.08,305.59,90.8
"13/03/2024","14:56:0",22.03,978.27,295.36,91.63
"13/03/2024","14:57:0",22.03,979.09,288.41,90.13
"13/03/2024","14:58:0",22.01,980.19,278.94,89.44
"13/03/2024","14:59:0",21.95,980.69,274.67,89.05
"13/03/2024","15:0:0",21.76,981.39,268.72,85.89
"13/03/2024","15:1:0",21.5,982.04,263.18,85.86
"13/03/2024","15:2:0",20.25,982.68,257.69,87.77
"13/03/2024","15:3:0",20.34,983.08,254.24,90.24
"13/03/2024","15:4:0",20.73,982.86,256.11,89.76
"13/03/2024","15:5:0",20.47,983.23,253.02,92.33
"13/03/2024","15:6:0",20.49,983.81,248.04,90.64
"13/03/2024","15:7:0",20.55,984.21,244.5,89.46
"13/03/2024","15:8:0",20.65,984.96,238.15,90.72
"13/03/2024","15:9:0",20.78,985.36,234.87,90.04
"13/03/2024","15:10:0",20.62,985.46,234.01,88.1
"13/03/2024","15:11:0",20.72,986.1,228.55,88.88
"13/03/2024","15:12:0",20.11,986.39,226.06,88.05
"13/03/2024","15:13:0",20.65,986.45,225.52,91.62
"13/03/2024","15:14:0",20.92,986.48,225.43,90.83
"13/03/2024","15:15:0",20.6,986.45,225.56,88.86
"13/03/2024","15:16:0",20.34,986.73,223.19,92.56
"13/03/2024","15:17:0",20.1,987.12,219.89,89.57
"13/03/2024","15:18:0",19.87,987.87,213.48,90.53
"13/03/2024","15:19:0",19.83,988.75,206.05,89.69
"13/03/2024","15:20:0",20.16,989.47,199.93,91.32
"13/03/2024","15:21:0",20.42,990.24,193.38,91.5
"13/03/2024","15:22:0",20.81,990.13,194.26,93.08
"13/03/2024","15:23:0",21.23,990.13,194.28,93.62
"13/03/2024","15:24:0",21.51,990.08,194.7,92.49
"13/03/2024","15:25:0",21.3,990.65,189.88,90.18
"13/03/2024","15:26:0",20.91,991.67,181.1,87
"13/03/2024","15:27:0",20.87,992.13,177.32,88.94
"13/03/2024","15:28:0",20.85,993.02,169.91,89.06
"13/03/2024","15:29:0",20.79,993.64,164.62,87.7
"13/03/2024","15:30:0",20.59,994.34,158.58,86.65
"13/03/2024","15:31:0",20.73,994.95,153.51,89.96
"13/03/2024","15:32:0",20.78,995.31,150.44,88.71
"13/03/2024","15:33:0",20.88,995.61,147.95,89.41
"13/03/2024","15:34:0",20.74,996.5,140.4,88.1
"13/03/2024","15:35:0",20.85,996.75,138.33,89.7
"13/03/2024","15:36:0",20.94,996.76,138.2,89.81
"13/03/2024","15:37:1",21.03,996.98,136.37,90.33
"13/03/2024","15:38:0",21.02,997.36,133.1,88.14
"13/03/2024","15:39:0",21.01,997.8,129.46,87.2
"13/03/2024","15:40:0",20.79,998.36,124.74,86.48
"13/03/2024","15:41:0",20.88,998.79,121.12,88.13
"13/03/2024","15:42:0",20.85,999.58,114.4,87.59
"13/03/2024","15:43:0",20.8,1000.3,108.41,86.56
"13/03/2024","15:44:0",20.87,1001.16,101.12,88.77
"13/03/2024","15:45:0",21,1001.89,95,90.06
"13/03/2024","15:46:0",21.1,1002.45,90.28,89.61
"13/03/2024","15:47:0",21.11,1002.81,87.25,87.55
"13/03/2024","15:48:0",20.97,1003.3,83.18,85.91
"13/03/2024","15:49:0",21.03,1003.72,79.67,87.07
"13/03/2024","15:50:0",21.01,1004.41,73.87,86.38
"13/03/2024","15:51:0",20.99,1004.92,69.58,88.24
"13/03/2024","15:52:0",21.03,1005.03,68.7,87.99
"13/03/2024","15:53:0",20.93,1004.75,71,86.93
"13/03/2024","15:54:0",20.86,1005.28,66.55,88.15
"13/03/2024","15:55:0",20.9,1005.18,67.43,87.74
"13/03/2024","15:56:0",20.89,1005.51,64.62,86.84
"13/03/2024","15:57:0",20.82,1006.11,59.61,86.61
"13/03/2024","15:58:0",20.88,1006.14,59.36,87.39
"13/03/2024","15:59:0",20.88,1006.34,57.67,87.71
"13/03/2024","16:0:0",20.94,1006.52,56.17,85.27
"13/03/2024","16:1:0",21.07,1006.53,56.11,85.26
"13/03/2024","16:2:0",21.08,1006.6,55.55,85.33
"13/03/2024","16:3:0",20.94,1007.61,47.04,87
"13/03/2024","16:4:0",20.8,1008.74,37.47,87.83
"13/03/2024","16:5:0",20.78,1008.65,38.34,88.5
"13/03/2024","16:6:0",20.7,1008.86,36.58,87.85
"13/03/2024","16:7:0",20.67,1010.1,26.28,88.37
"13/03/2024","16:8:0",20.62,1010.61,22.04,87.82
"13/03/2024","16:9:0",20.54,1011.53,14.35,87.97
"13/03/2024","16:10:0",20.52,1012.1,9.55,88.07
"13/03/2024","16:11:0",20.59,1012.44,6.72,89.39
"13/03/2024","16:12:0",20.5,1013.07,1.5,88.27
"13/03/2024","16:13:0",20.38,1013.77,-4.35,88.86
"13/03/2024","16:14:0",20.47,1014.87,-13.44,89.61
